reseller_id,reseller_name,region
RS001,Rajesh Kumar,North
RS002,Priya Sharma,South
RS003,Amit Patel,East
RS004,Anita Singh,West
RS005,Vikram Das,North
RS006,Sunita Reddy,South
RS007,Ramesh Babu,East
RS008,Kavita Rao,West
RS009,Sanjay Gupta,North
RS010,Neha Verma,South
RS011,Manoj Joshi,East
RS012,Pooja Mehta,West
RS013,Deepak Nair,North
RS014,Aarti Agarwal,South
RS015,Suresh Choudhary,East
RS016,Ananya Roy,West
RS017,Rahul Kapoor,North
RS018,Divya Menon,South
RS019,Alok Mishra,East
RS020,Meena Iyer,West
RS021,Rohan Malhotra,North
RS022,Shweta Saxena,South
RS023,Tarun Bhatia,East
RS024,Zero Order Reseller,West
