reseller_id,reseller_name,count_star,count_order_id
RS024,Zero Order Reseller,1,0
RS001,Rajesh Kumar,24,24
RS007,Ramesh Babu,27,27
RS003,Amit Patel,33,33
RS004,Anita Singh,33,33
RS019,Alok Mishra,34,34
RS013,Deepak Nair,35,35
RS009,Sanjay Gupta,36,36
RS017,Rahul Kapoor,36,36
RS005,Vikram Das,37,37
RS006,Sunita Reddy,37,37
RS023,Tarun Bhatia,37,37
RS010,Neha Verma,38,38
RS014,Aarti Agarwal,38,38
RS020,Meena Iyer,39,39
RS011,Manoj Joshi,40,40
RS016,Ananya Roy,40,40
RS012,Pooja Mehta,44,44
RS008,Kavita Rao,45,45
RS022,Shweta Saxena,46,46
RS002,Priya Sharma,49,49
RS018,Divya Menon,49,49
RS015,Suresh Choudhary,51,51
RS021,Rohan Malhotra,52,52
